lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,emptype
577511731FN,005,5775,0,11,000000000,073,0003696,0003696,000,10012019,N,I,N,N,1F
577511741FN,005,5775,0,11,000000000,074,0003696,0003696,000,10012019,N,I,N,N,1F
577511751FN,005,5775,0,11,000000000,075,0004004,0004004,000,10012019,N,I,N,N,1F
577511761FN,005,5775,0,11,000000000,076,0004004,0004004,000,10012019,N,I,N,N,1F
577511771FN,005,5775,0,11,000000000,077,0004004,0004004,000,10012019,N,I,N,N,1F
577511781FN,005,5775,0,11,000000000,078,0004004,0004004,000,10012019,N,I,N,N,1F
577511791FN,005,5775,0,11,000000000,079,0004004,0004004,000,10012019,N,I,N,N,1F
577511801FN,005,5775,0,11,000000000,080,0004185,0004185,000,10012019,N,I,N,N,1F
577511811FN,005,5775,0,11,000000000,081,0004185,0004185,000,10012019,N,I,N,N,1F
577511821FN,005,5775,0,11,000000000,082,0004185,0004185,000,10012019,N,I,N,N,1F
577511831FN,005,5775,0,11,000000000,083,0004185,0004185,000,10012019,N,I,N,N,1F
577511841FN,005,5775,0,11,000000000,084,0004185,0004185,000,10012019,N,I,N,N,1F
577511851FN,005,5775,0,11,000000000,085,0004321,0004321,000,10012019,N,I,N,N,1F
577511861FN,005,5775,0,11,000000000,086,0004321,0004321,000,10012019,N,I,N,N,1F
577511871FN,005,5775,0,11,000000000,087,0004321,0004321,000,10012019,N,I,N,N,1F
577511881FN,005,5775,0,11,000000000,088,0004321,0004321,000,10012019,N,I,N,N,1F
577511891FN,005,5775,0,11,000000000,089,0004321,0004321,000,10012019,N,I,N,N,1F
577511901FN,005,5775,0,11,000000000,090,0004513,0004513,000,10012019,N,I,N,N,1F
577511911FN,005,5775,0,11,000000000,091,0004513,0004513,000,10012019,N,I,N,N,1F
577511921FN,005,5775,0,11,000000000,092,0004513,0004513,000,10012019,N,I,N,N,1F
