lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,class,ratetype,emptype
57754460ESN,005,5775,0,44,000000000,060,0004852,0004852,000,10142019,N,I,N,N,,,ES
57754461ESN,005,5775,0,44,000000000,061,0004852,0004852,000,10142019,N,I,N,N,,,ES
57754462ESN,005,5775,0,44,000000000,062,0004852,0004852,000,10142019,N,I,N,N,,,ES
57754463ESN,005,5775,0,44,000000000,063,0004852,0004852,000,10142019,N,I,N,N,,,ES
57754464ESN,005,5775,0,44,000000000,064,0004852,0004852,000,10142019,N,I,N,N,,,ES
57754465ESN,005,5775,0,44,000000000,065,0006296,0006296,000,10142019,N,I,N,N,,,ES
57754466ESN,005,5775,0,44,000000000,066,0006296,0006296,000,10142019,N,I,N,N,,,ES
57754467ESN,005,5775,0,44,000000000,067,0006296,0006296,000,10142019,N,I,N,N,,,ES
57754468ESN,005,5775,0,44,000000000,068,0006296,0006296,000,10142019,N,I,N,N,,,ES
57754469ESN,005,5775,0,44,000000000,069,0006296,0006296,000,10142019,N,I,N,N,,,ES
57754470ESN,005,5775,0,44,000000000,070,0007418,0007418,000,10142019,N,I,N,N,,,ES
57754471ESN,005,5775,0,44,000000000,071,0007418,0007418,000,10142019,N,I,N,N,,,ES
57754472ESN,005,5775,0,44,000000000,072,0007418,0007418,000,10142019,N,I,N,N,,,ES
57754473ESN,005,5775,0,44,000000000,073,0007418,0007418,000,10142019,N,I,N,N,,,ES
57754474ESN,005,5775,0,44,000000000,074,0007418,0007418,000,10142019,N,I,N,N,,,ES
57754475ESN,005,5775,0,44,000000000,075,0008161,0008161,000,10142019,N,I,N,N,,,ES
57754476ESN,005,5775,0,44,000000000,076,0008161,0008161,000,10142019,N,I,N,N,,,ES
57754477ESN,005,5775,0,44,000000000,077,0008161,0008161,000,10142019,N,I,N,N,,,ES
57754478ESN,005,5775,0,44,000000000,078,0008161,0008161,000,10142019,N,I,N,N,,,ES
57754479ESN,005,5775,0,44,000000000,079,0008161,0008161,000,10142019,N,I,N,N,,,ES
57754480ESN,005,5775,0,44,000000000,080,0008617,0008617,000,10142019,N,I,N,N,,,ES
57754481ESN,005,5775,0,44,000000000,081,0008617,0008617,000,10142019,N,I,N,N,,,ES
57754482ESN,005,5775,0,44,000000000,082,0008617,0008617,000,10142019,N,I,N,N,,,ES
57754483ESN,005,5775,0,44,000000000,083,0008617,0008617,000,10142019,N,I,N,N,,,ES
57754484ESN,005,5775,0,44,000000000,084,0008617,0008617,000,10142019,N,I,N,N,,,ES
57754485ESN,005,5775,0,44,000000000,085,0008915,0008915,000,10142019,N,I,N,N,,,ES
57754486ESN,005,5775,0,44,000000000,086,0008915,0008915,000,10142019,N,I,N,N,,,ES
57754487ESN,005,5775,0,44,000000000,087,0008915,0008915,000,10142019,N,I,N,N,,,ES
57754488ESN,005,5775,0,44,000000000,088,0008915,0008915,000,10142019,N,I,N,N,,,ES
57754489ESN,005,5775,0,44,000000000,089,0008915,0008915,000,10142019,N,I,N,N,,,ES
57754490ESN,005,5775,0,44,000000000,090,0009339,0009339,000,10142019,N,I,N,N,,,ES
57754491ESN,005,5775,0,44,000000000,091,0009339,0009339,000,10142019,N,I,N,N,,,ES
57754492ESN,005,5775,0,44,000000000,092,0009339,0009339,000,10142019,N,I,N,N,,,ES
57754493ESN,005,5775,0,44,000000000,093,0009339,0009339,000,10142019,N,I,N,N,,,ES
57754494ESN,005,5775,0,44,000000000,094,0009339,0009339,000,10142019,N,I,N,N,,,ES
57754495ESN,005,5775,0,44,000000000,095,0009553,0009553,000,10142019,N,I,N,N,,,ES
57754496ESN,005,5775,0,44,000000000,096,0009553,0009553,000,10142019,N,I,N,N,,,ES
57754497ESN,005,5775,0,44,000000000,097,0009553,0009553,000,10142019,N,I,N,N,,,ES
57754498ESN,005,5775,0,44,000000000,098,0009553,0009553,000,10142019,N,I,N,N,,,ES
57754499ESN,005,5775,0,44,000000000,099,0009553,0009553,000,10142019,N,I,N,N,,,ES
577544181FN,005,5775,0,44,000000000,018,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544191FN,005,5775,0,44,000000000,019,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544201FN,005,5775,0,44,000000000,020,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544211FN,005,5775,0,44,000000000,021,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544221FN,005,5775,0,44,000000000,022,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544231FN,005,5775,0,44,000000000,023,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544241FN,005,5775,0,44,000000000,024,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544251FN,005,5775,0,44,000000000,025,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544261FN,005,5775,0,44,000000000,026,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544271FN,005,5775,0,44,000000000,027,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544281FN,005,5775,0,44,000000000,028,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544291FN,005,5775,0,44,000000000,029,0000300,0000300,000,10142019,N,I,N,N,,,1F
577544301FN,005,5775,0,44,000000000,030,0000513,0000513,000,10142019,N,I,N,N,,,1F
577544311FN,005,5775,0,44,000000000,031,0000513,0000513,000,10142019,N,I,N,N,,,1F
577544321FN,005,5775,0,44,000000000,032,0000513,0000513,000,10142019,N,I,N,N,,,1F
577544331FN,005,5775,0,44,000000000,033,0000513,0000513,000,10142019,N,I,N,N,,,1F
577544341FN,005,5775,0,44,000000000,034,0000513,0000513,000,10142019,N,I,N,N,,,1F
577544351FN,005,5775,0,44,000000000,035,0000703,0000703,000,10142019,N,I,N,N,,,1F
577544361FN,005,5775,0,44,000000000,036,0000703,0000703,000,10142019,N,I,N,N,,,1F
577544371FN,005,5775,0,44,000000000,037,0000703,0000703,000,10142019,N,I,N,N,,,1F
577544381FN,005,5775,0,44,000000000,038,0000703,0000703,000,10142019,N,I,N,N,,,1F
577544391FN,005,5775,0,44,000000000,039,0000703,0000703,000,10142019,N,I,N,N,,,1F
577544401FN,005,5775,0,44,000000000,040,0000936,0000936,000,10142019,N,I,N,N,,,1F
577544411FN,005,5775,0,44,000000000,041,0000936,0000936,000,10142019,N,I,N,N,,,1F
577544421FN,005,5775,0,44,000000000,042,0000936,0000936,000,10142019,N,I,N,N,,,1F
577544431FN,005,5775,0,44,000000000,043,0000936,0000936,000,10142019,N,I,N,N,,,1F
577544441FN,005,5775,0,44,000000000,044,0000936,0000936,000,10142019,N,I,N,N,,,1F
577544451FN,005,5775,0,44,000000000,045,0001277,0001277,000,10142019,N,I,N,N,,,1F
577544461FN,005,5775,0,44,000000000,046,0001277,0001277,000,10142019,N,I,N,N,,,1F
577544471FN,005,5775,0,44,000000000,047,0001277,0001277,000,10142019,N,I,N,N,,,1F
577544481FN,005,5775,0,44,000000000,048,0001277,0001277,000,10142019,N,I,N,N,,,1F
577544491FN,005,5775,0,44,000000000,049,0001277,0001277,000,10142019,N,I,N,N,,,1F
577544501FN,005,5775,0,44,000000000,050,0001653,0001653,000,10142019,N,I,N,N,,,1F
577544511FN,005,5775,0,44,000000000,051,0001653,0001653,000,10142019,N,I,N,N,,,1F
577544521FN,005,5775,0,44,000000000,052,0001653,0001653,000,10142019,N,I,N,N,,,1F
577544531FN,005,5775,0,44,000000000,053,0001653,0001653,000,10142019,N,I,N,N,,,1F
577544541FN,005,5775,0,44,000000000,054,0001653,0001653,000,10142019,N,I,N,N,,,1F
577544551FN,005,5775,0,44,000000000,055,0002071,0002071,000,10142019,N,I,N,N,,,1F
577544561FN,005,5775,0,44,000000000,056,0002071,0002071,000,10142019,N,I,N,N,,,1F
577544571FN,005,5775,0,44,000000000,057,0002071,0002071,000,10142019,N,I,N,N,,,1F
577544581FN,005,5775,0,44,000000000,058,0002071,0002071,000,10142019,N,I,N,N,,,1F
577544591FN,005,5775,0,44,000000000,059,0002071,0002071,000,10142019,N,I,N,N,,,1F
577544601FN,005,5775,0,44,000000000,060,0002578,0002578,000,10142019,N,I,N,N,,,1F
577544611FN,005,5775,0,44,000000000,061,0002578,0002578,000,10142019,N,I,N,N,,,1F
577544621FN,005,5775,0,44,000000000,062,0002578,0002578,000,10142019,N,I,N,N,,,1F
577544631FN,005,5775,0,44,000000000,063,0002578,0002578,000,10142019,N,I,N,N,,,1F
577544641FN,005,5775,0,44,000000000,064,0002578,0002578,000,10142019,N,I,N,N,,,1F
577544651FN,005,5775,0,44,000000000,065,0003301,0003301,000,10142019,N,I,N,N,,,1F
577544661FN,005,5775,0,44,000000000,066,0003301,0003301,000,10142019,N,I,N,N,,,1F
577544671FN,005,5775,0,44,000000000,067,0003301,0003301,000,10142019,N,I,N,N,,,1F
577544681FN,005,5775,0,44,000000000,068,0003301,0003301,000,10142019,N,I,N,N,,,1F
577544691FN,005,5775,0,44,000000000,069,0003301,0003301,000,10142019,N,I,N,N,,,1F
577544701FN,005,5775,0,44,000000000,070,0003781,0003781,000,10142019,N,I,N,N,,,1F
577544711FN,005,5775,0,44,000000000,071,0003781,0003781,000,10142019,N,I,N,N,,,1F
577544721FN,005,5775,0,44,000000000,072,0003781,0003781,000,10142019,N,I,N,N,,,1F
577544731FN,005,5775,0,44,000000000,073,0003781,0003781,000,10142019,N,I,N,N,,,1F
577544741FN,005,5775,0,44,000000000,074,0003781,0003781,000,10142019,N,I,N,N,,,1F
577544751FN,005,5775,0,44,000000000,075,0004096,0004096,000,10142019,N,I,N,N,,,1F
577544761FN,005,5775,0,44,000000000,076,0004096,0004096,000,10142019,N,I,N,N,,,1F
577544771FN,005,5775,0,44,000000000,077,0004096,0004096,000,10142019,N,I,N,N,,,1F
577544781FN,005,5775,0,44,000000000,078,0004096,0004096,000,10142019,N,I,N,N,,,1F
577544791FN,005,5775,0,44,000000000,079,0004096,0004096,000,10142019,N,I,N,N,,,1F
577544801FN,005,5775,0,44,000000000,080,0004281,0004281,000,10142019,N,I,N,N,,,1F
577544811FN,005,5775,0,44,000000000,081,0004281,0004281,000,10142019,N,I,N,N,,,1F
577544821FN,005,5775,0,44,000000000,082,0004281,0004281,000,10142019,N,I,N,N,,,1F
577544831FN,005,5775,0,44,000000000,083,0004281,0004281,000,10142019,N,I,N,N,,,1F
577544841FN,005,5775,0,44,000000000,084,0004281,0004281,000,10142019,N,I,N,N,,,1F
577544851FN,005,5775,0,44,000000000,085,0004420,0004420,000,10142019,N,I,N,N,,,1F
577544861FN,005,5775,0,44,000000000,086,0004420,0004420,000,10142019,N,I,N,N,,,1F
577544871FN,005,5775,0,44,000000000,087,0004420,0004420,000,10142019,N,I,N,N,,,1F
577544881FN,005,5775,0,44,000000000,088,0004420,0004420,000,10142019,N,I,N,N,,,1F
577544891FN,005,5775,0,44,000000000,089,0004420,0004420,000,10142019,N,I,N,N,,,1F
577544901FN,005,5775,0,44,000000000,090,0004617,0004617,000,10142019,N,I,N,N,,,1F
577544911FN,005,5775,0,44,000000000,091,0004617,0004617,000,10142019,N,I,N,N,,,1F
577544921FN,005,5775,0,44,000000000,092,0004617,0004617,000,10142019,N,I,N,N,,,1F
577544931FN,005,5775,0,44,000000000,093,0004617,0004617,000,10142019,N,I,N,N,,,1F
577544941FN,005,5775,0,44,000000000,094,0004617,0004617,000,10142019,N,I,N,N,,,1F
577544951FN,005,5775,0,44,000000000,095,0004703,0004703,000,10142019,N,I,N,N,,,1F
577544961FN,005,5775,0,44,000000000,096,0004703,0004703,000,10142019,N,I,N,N,,,1F
577544971FN,005,5775,0,44,000000000,097,0004703,0004703,000,10142019,N,I,N,N,,,1F
577544981FN,005,5775,0,44,000000000,098,0004703,0004703,000,10142019,N,I,N,N,,,1F
577544991FN,005,5775,0,44,000000000,099,0004703,0004703,000,10142019,N,I,N,N,,,1F
577544182FN,005,5775,0,44,000000000,018,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544192FN,005,5775,0,44,000000000,019,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544202FN,005,5775,0,44,000000000,020,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544212FN,005,5775,0,44,000000000,021,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544222FN,005,5775,0,44,000000000,022,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544232FN,005,5775,0,44,000000000,023,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544242FN,005,5775,0,44,000000000,024,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544252FN,005,5775,0,44,000000000,025,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544262FN,005,5775,0,44,000000000,026,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544272FN,005,5775,0,44,000000000,027,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544282FN,005,5775,0,44,000000000,028,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544292FN,005,5775,0,44,000000000,029,0000490,0000490,000,10142019,N,I,N,N,,,2F
577544302FN,005,5775,0,44,000000000,030,0000870,0000870,000,10142019,N,I,N,N,,,2F
577544312FN,005,5775,0,44,000000000,031,0000870,0000870,000,10142019,N,I,N,N,,,2F
577544322FN,005,5775,0,44,000000000,032,0000870,0000870,000,10142019,N,I,N,N,,,2F
577544332FN,005,5775,0,44,000000000,033,0000870,0000870,000,10142019,N,I,N,N,,,2F
577544342FN,005,5775,0,44,000000000,034,0000870,0000870,000,10142019,N,I,N,N,,,2F
577544352FN,005,5775,0,44,000000000,035,0001219,0001219,000,10142019,N,I,N,N,,,2F
577544362FN,005,5775,0,44,000000000,036,0001219,0001219,000,10142019,N,I,N,N,,,2F
577544372FN,005,5775,0,44,000000000,037,0001219,0001219,000,10142019,N,I,N,N,,,2F
577544382FN,005,5775,0,44,000000000,038,0001219,0001219,000,10142019,N,I,N,N,,,2F
577544392FN,005,5775,0,44,000000000,039,0001219,0001219,000,10142019,N,I,N,N,,,2F
577544402FN,005,5775,0,44,000000000,040,0001658,0001658,000,10142019,N,I,N,N,,,2F
577544412FN,005,5775,0,44,000000000,041,0001658,0001658,000,10142019,N,I,N,N,,,2F
577544422FN,005,5775,0,44,000000000,042,0001658,0001658,000,10142019,N,I,N,N,,,2F
577544432FN,005,5775,0,44,000000000,043,0001658,0001658,000,10142019,N,I,N,N,,,2F
577544442FN,005,5775,0,44,000000000,044,0001658,0001658,000,10142019,N,I,N,N,,,2F
577544452FN,005,5775,0,44,000000000,045,0002266,0002266,000,10142019,N,I,N,N,,,2F
577544462FN,005,5775,0,44,000000000,046,0002266,0002266,000,10142019,N,I,N,N,,,2F
577544472FN,005,5775,0,44,000000000,047,0002266,0002266,000,10142019,N,I,N,N,,,2F
577544482FN,005,5775,0,44,000000000,048,0002266,0002266,000,10142019,N,I,N,N,,,2F
577544492FN,005,5775,0,44,000000000,049,0002266,0002266,000,10142019,N,I,N,N,,,2F
577544502FN,005,5775,0,44,000000000,050,0003081,0003081,000,10142019,N,I,N,N,,,2F
577544512FN,005,5775,0,44,000000000,051,0003081,0003081,000,10142019,N,I,N,N,,,2F
577544522FN,005,5775,0,44,000000000,052,0003081,0003081,000,10142019,N,I,N,N,,,2F
577544532FN,005,5775,0,44,000000000,053,0003081,0003081,000,10142019,N,I,N,N,,,2F
577544542FN,005,5775,0,44,000000000,054,0003081,0003081,000,10142019,N,I,N,N,,,2F
